business_status,formatted_address,name,place_id,rating,user_ratings_total,formatted_phone_number,website,sunday_open,sunday_hours_open,sunday_hours_close,monday_open,monday_hours_open,monday_hours_close,tuesday_open,tuesday_hours_open,tuesday_hours_close,wednesday_open,wednesday_hours_open,wednesday_hours_close,thursday_open,thursday_hours_open,thursday_hours_close,friday_open,friday_hours_open,friday_hours_close,saturday_open,saturday_hours_open,saturday_hours_close,price_level,driving_distance_meters,driving_duration,driving_distance_miles
OPERATIONAL,"605 Haywood Rd, Greenville, SC 29607, United States",Conn's HomePlus,ChIJ17j05fsuWIgRshyWFuhz-jg,4.5,1272,(864) 675-1331,https://www.conns.com/sc/greenville/605-haywood-rd-29607?utm_source=google&utm_medium=organic&utm_campaign=gbp_listing,True,10:00:00,20:00:00,True,10:00:00,21:30:00,True,10:00:00,21:30:00,True,10:00:00,21:30:00,True,10:00:00,21:30:00,True,10:00:00,21:30:00,True,09:00:00,21:30:00,,2676,6 mins,1.662793443274883
OPERATIONAL,"740 Wade Hampton Blvd, Greenville, SC 29609, United States",Endtime Harvest Thrift Store,ChIJ9erFnxcuWIgRLqd6-LHesYo,4.3,45,(864) 271-2505,,,,,True,09:30:00,16:30:00,True,09:30:00,16:30:00,True,09:30:00,16:30:00,True,09:30:00,16:30:00,True,09:30:00,16:30:00,,,,,3525,7 mins,2.190338896690569
OPERATIONAL,"620 Laurens Rd, Greenville, SC 29607, United States",Banks Appliance Parts & Service,ChIJbW-3gzEuWIgRxkf7QUg7XV0,4.2,260,(864) 233-1999,https://www.banksappliance.com/,,,,True,08:00:00,17:00:00,True,08:00:00,17:00:00,True,08:00:00,17:00:00,True,08:00:00,17:00:00,True,08:00:00,17:00:00,,,,,2746,5 mins,1.7062895348403695
OPERATIONAL,"4007 Old Buncombe Rd, Greenville, SC 29617, United States",Guaranteed Goods Appliance Sales & Service,ChIJ7f_2UdUzWIgRjxS8oh4WeZA,2.9,74,(864) 516-9146,,,,,,,,True,10:30:00,18:00:00,True,10:30:00,18:00:00,True,10:30:00,18:00:00,True,10:30:00,15:00:00,True,10:30:00,16:00:00,,10941,15 mins,6.798439111685536
OPERATIONAL,"20 Maple Creek Cir suite a, Greenville, SC 29607, United States",KWR Appliances,ChIJZ_pgGM0nWIgRemTa3vrnPDI,3.8,207,(864) 502-8735,http://www.kwrappliances.com/,True,13:00:00,17:00:00,True,10:00:00,18:00:00,True,10:00:00,18:00:00,True,10:00:00,18:00:00,True,10:00:00,18:00:00,True,10:00:00,18:00:00,True,10:00:00,17:00:00,,11800,14 mins,7.33219829246772
OPERATIONAL,"115 School St unit c, Greer, SC 29651, United States",Bridge City Appliances,ChIJE0oIVVsrWIgR4L9jOcxgXxI,4.9,101,(864) 735-5455,http://bridgecityappliances.com/,,,,True,10:00:00,17:00:00,True,10:00:00,17:00:00,True,10:00:00,17:00:00,True,10:00:00,17:00:00,True,10:00:00,17:00:00,True,10:00:00,15:00:00,,16728,21 mins,10.394323138677969
OPERATIONAL,"17 Roper Mountain Rd, Greenville, SC 29607, United States",Jeff Lynch Appliance & TV Ctr,ChIJd9BlNycvWIgRQ9Plvge9pU0,4.4,1476,(864) 268-3101,http://jefflynch.com/,,,,True,09:00:00,18:00:00,True,09:00:00,18:00:00,True,09:00:00,18:00:00,True,09:00:00,18:00:00,True,09:00:00,18:00:00,True,09:00:00,17:00:00,,5435,7 mins,3.3771608236916997
OPERATIONAL,"2421 New Easley Hwy #200, Greenville, SC 29611, United States",Mr Rogers Appliance Warehouse,ChIJvdTNffMxWIgRpGUlZSCESZU,4.6,31,(864) 243-8583,,,,,True,09:00:00,17:00:00,True,09:00:00,17:00:00,True,09:00:00,17:00:00,True,09:00:00,17:00:00,True,09:00:00,17:00:00,True,09:00:00,17:00:00,,18215,20 mins,11.318304398076231
OPERATIONAL,"6119 White Horse Rd Suite I, Greenville, SC 29611, United States",Appliances4Less Greenville,ChIJs6x74jkxWIgR-VZv7XMrtSs,2.8,20,(864) 908-6662,,True,00:00:00,18:00:00,True,11:00:00,19:00:00,,,,True,11:00:00,19:00:00,True,11:00:00,19:00:00,True,11:00:00,19:00:00,True,11:00:00,19:00:00,,11844,18 mins,7.359538692880312
OPERATIONAL,"14171 E Wade Hampton Blvd, Greer, SC 29651, United States",Appliance Outlet Showroom,ChIJLUKZG2-BV4gRR5exADiHQfE,3.5,502,(864) 373-5074,http://scusedappliancewarehouses.com/,,,,,,,True,10:00:00,19:00:00,True,10:00:00,19:00:00,True,10:00:00,19:00:00,True,10:00:00,19:00:00,True,10:00:00,19:00:00,,19160,25 mins,11.905501634210298
